Average_AP,Average_SP,Average_Average_Points,Match_Number,Team_ID,Winner
34.22222222222222,608.0,106.34333333333333,93,154568,1
42.6,520.52,108.6144,93,130941,1
25.0,401.0625,79.420625,94,156870,0
37.68,524.36,111.10519999999998,94,75585,0
23.5625,332.25,65.91125,94,134681,1
22.857142857142858,415.07142857142856,67.87642857142858,94,156872,1
29.333333333333332,577.8333333333334,105.95333333333333,95,163302,1
42.2,548.48,116.36320000000002,95,78936,1
28.444444444444443,471.0,96.78555555555555,95,159927,0
22.0,485.25,88.21000000000001,95,164321,0
45.04,479.84,115.5712,96,64218,1
24.0,402.6666666666667,71.34666666666668,96,162234,1
36.333333333333336,426.0952380952381,88.81142857142856,96,130641,0
28.6,300.85,78.69499999999998,96,142619,0
34.333333333333336,406.7083333333333,83.63041666666665,97,141234,1
31.142857142857142,379.7142857142857,93.4407142857143,97,133872,1
56.2,671.24,134.06239999999997,97,84097,0
38.6,444.88,85.66160000000002,97,39034,0
24.533333333333335,431.73333333333335,98.97533333333332,98,155861,1
54.0,621.4,99.20640000000002,98,110370,1
26.46153846153846,495.3076923076923,85.15923076923076,98,155593,0
45.04,484.88,111.58879999999999,98,38959,0
38.28,506.8,116.00679999999998,99,111002,0
35.6,543.68,99.414,99,125280,0
16.555555555555557,242.88888888888889,44.154444444444444,99,38374,1
29.5,514.3125,83.48875,99,139304,1
33.16,616.92,78.49,100,98888,0
45.09090909090909,508.27272727272725,117.76181818181817,100,153219,0
20.263157894736842,429.7894736842105,89.82210526315792,100,134679,1
35.32,501.36,115.6036,100,72998,1
29.58823529411765,410.0,94.30411764705882,101,144638,0
44.2,518.2,131.6044,101,56089,0
24.08,448.24,98.0372,101,112249,1
19.7,234.0,43.067,101,38371,1
42.6,520.52,108.6144,102,130941,1
40.04,486.36,97.19439999999999,102,50691,1
24.36,328.0,63.897999999999996,102,51868,0
34.72,529.12,111.684,102,56090,0
39.2,428.6,101.48066666666668,103,134029,0
35.44,504.0,106.08359999999999,103,130942,0
41.31818181818182,402.72727272727275,88.34999999999997,103,82537,1
20.285714285714285,421.14285714285717,73.62714285714286,103,156541,1
48.666666666666664,549.3333333333334,111.39625000000001,104,141371,1
28.25,455.0625,82.358125,104,156873,1
33.19047619047619,515.7142857142857,104.6161904761905,104,140966,0
34.8,479.28,102.75399999999999,104,57436,0
36.391304347826086,541.5652173913044,127.65739130434783,105,138786,0
37.13333333333333,399.93333333333334,85.978,105,107689,0
35.63636363636363,540.2727272727273,83.29454545454544,105,163443,1
37.68,524.36,111.10519999999998,105,75585,1
25.0,401.0625,79.420625,106,156870,1
26.0,356.1666666666667,72.60916666666667,106,141462,1
29.333333333333332,577.8333333333334,105.95333333333333,106,163302,0
38.48,390.12,89.32320000000001,106,100219,0
23.5625,332.25,65.91125,107,134681,1
39.4,498.64,109.5816,107,110041,1
53.92,586.96,127.2464,107,123261,0
32.92,573.8,119.6772,107,40093,0
28.444444444444443,471.0,96.78555555555555,108,159927,0
24.96,335.56,68.8476,108,62980,0
51.56,619.0,89.2544,108,83437,1
39.142857142857146,443.92857142857144,100.33642857142857,108,140680,1
34.22222222222222,608.0,106.34333333333333,109,154568,0
34.46153846153846,506.7692307692308,95.33384615384617,109,156028,0
25.56,420.48,83.4972,109,19300,1
25.96,468.84,91.77720000000001,109,97118,1
43.7,460.6,107.89299999999999,110,154078,0
34.28,421.24,89.74680000000002,110,109305,0
38.88,507.8,123.48200000000001,110,66344,1
22.857142857142858,415.07142857142856,67.87642857142858,110,156872,1
31.3,392.8,77.996,111,110526,1
47.0,519.16,121.9148,111,141601,1
34.72,470.68,108.45039999999999,111,99490,0
31.0,497.68,93.12440000000002,111,109359,0
22.0,485.25,88.21000000000001,112,164321,1
37.578947368421055,549.8947368421053,103.11999999999999,112,140100,1
19.555555555555557,381.55555555555554,82.13555555555554,112,159925,0
19.214285714285715,394.42857142857144,63.105000000000004,112,105385,0
40.72,519.56,104.37559999999999,113,129791,1
28.64,529.08,100.2852,113,93380,1
39.041666666666664,575.9166666666666,119.05125,113,138787,0
32.9,534.5,102.53599999999999,113,153399,0
34.96,520.84,127.0772,114,140116,0
41.32,504.36,101.64920000000001,114,110896,0
42.2,548.48,116.36320000000002,114,78936,1
37.94117647058823,458.05882352941177,89.3229411764706,114,113239,1
38.6,444.88,85.66160000000002,115,39034,1
33.16,616.92,78.49,115,98888,1
35.44,504.0,106.08359999999999,115,130942,0
35.6,543.68,99.414,115,125280,0
24.0,402.6666666666667,71.34666666666668,116,162234,0
37.68,524.36,111.10519999999998,116,75585,0
26.0,356.1666666666667,72.60916666666667,116,141462,1
20.285714285714285,421.14285714285717,73.62714285714286,116,156541,1
34.8,479.28,102.75399999999999,117,57436,1
19.7,234.0,43.067,117,38371,1
39.142857142857146,443.92857142857144,100.33642857142857,117,140680,0
38.28,506.8,116.00679999999998,117,111002,0
48.666666666666664,549.3333333333334,111.39625000000001,118,141371,1
29.5,514.3125,83.48875,118,139304,1
34.22222222222222,608.0,106.34333333333333,118,154568,0
36.333333333333336,426.0952380952381,88.81142857142856,118,130641,0
23.5625,332.25,65.91125,119,134681,1
25.56,420.48,83.4972,119,19300,1
34.72,529.12,111.684,119,56090,0
34.333333333333336,406.7083333333333,83.63041666666665,119,141234,0
25.96,468.84,91.77720000000001,120,97118,1
42.6,520.52,108.6144,120,130941,1
38.88,507.8,123.48200000000001,120,66344,0
54.0,621.4,99.20640000000002,120,110370,0
28.6,300.85,78.69499999999998,121,142619,1
22.0,485.25,88.21000000000001,121,164321,1
24.08,448.24,98.0372,121,112249,0
34.72,470.68,108.45039999999999,121,99490,0
45.09090909090909,508.27272727272725,117.76181818181817,122,153219,1
41.31818181818182,402.72727272727275,88.34999999999997,122,82537,1
